,Customer Type,satisfaction,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
84,1,1,47,406,4,4,4,44,50.0
85,1,1,31,404,4,2,4,17,3.0
86,1,0,57,500,5,5,5,0,0.0
87,1,0,44,689,5,5,5,0,0.0
88,1,1,45,3100,4,4,1,0,0.0
89,0,0,13,525,3,3,3,0,0.0
90,1,1,60,931,4,5,4,0,0.0
91,0,1,41,304,2,4,2,31,19.0
92,1,0,30,1896,4,3,4,81,72.0
93,1,1,51,261,5,5,1,0,0.0
94,1,1,61,347,3,3,4,0,11.0
95,1,1,32,1042,4,1,4,35,34.0
96,1,0,39,1773,5,3,5,14,18.0
97,1,0,19,342,3,3,3,0,0.0
98,1,0,15,297,5,1,5,67,62.0
99,0,1,42,883,3,4,3,22,27.0
100,1,0,16,332,3,5,3,40,52.0
101,1,1,19,2388,4,1,4,0,0.0
102,1,0,29,748,5,4,5,0,0.0
103,0,0,27,1080,3,3,3,0,0.0
104,0,1,22,231,5,4,5,0,0.0
105,1,0,15,551,4,4,4,3,0.0
106,0,0,11,972,1,4,1,0,0.0
107,1,0,34,265,5,2,5,0,23.0
108,0,0,26,488,1,5,1,0,0.0
109,1,0,26,1144,4,5,4,0,0.0
110,1,1,53,2332,4,4,3,0,3.0
111,1,0,36,3024,4,4,1,30,13.0
112,1,0,32,1750,1,2,1,0,0.0
113,1,0,20,483,5,3,5,91,82.0
114,1,1,35,2128,4,4,4,0,0.0
115,1,0,15,235,1,4,1,1,10.0
116,1,0,52,689,3,2,3,0,0.0
117,1,1,45,1852,2,2,5,0,0.0
118,0,0,24,372,3,4,3,21,23.0
119,1,0,46,3705,4,4,4,4,0.0
120,0,0,26,416,1,2,1,0,9.0
121,1,0,28,337,4,2,4,3,0.0
122,1,0,11,335,3,4,3,0,0.0
123,1,1,45,1400,4,4,5,4,9.0
124,1,0,62,2521,5,4,1,7,30.0
125,1,1,34,374,4,4,3,0,0.0
126,1,1,51,308,4,4,5,17,8.0
127,1,0,58,575,2,2,4,14,16.0
128,1,0,22,618,3,4,3,0,0.0
129,1,1,8,1304,4,4,4,0,0.0
130,0,1,26,351,2,4,2,4,11.0
131,1,0,22,549,3,5,3,15,3.0
132,1,0,21,3510,3,3,3,0,0.0
133,1,0,31,1620,3,2,3,0,0.0
134,1,0,44,326,1,1,5,0,0.0
135,1,1,27,588,5,5,5,0,0.0
136,1,1,47,1020,5,5,5,0,0.0
137,1,0,24,2903,3,2,3,0,0.0
138,1,0,67,2659,1,1,1,0,0.0
139,1,1,32,3037,4,1,4,0,0.0
140,1,1,58,2475,3,4,1,29,10.0
141,1,0,12,978,1,4,1,0,0.0
142,1,0,56,2568,3,3,4,0,0.0
143,1,0,58,371,1,1,3,0,0.0
144,0,0,24,791,5,3,5,39,6.0
145,1,0,68,480,5,3,5,7,6.0
146,1,1,46,1786,5,5,3,1,7.0
147,1,1,43,1849,3,3,4,0,7.0
148,1,1,55,3634,4,1,3,0,0.0
149,1,0,54,844,3,3,4,0,0.0
150,1,1,42,3094,2,2,3,0,10.0
151,1,0,47,3465,1,1,4,13,15.0
152,0,0,29,1035,5,4,5,0,0.0
153,1,0,36,237,2,2,2,0,0.0
154,1,1,50,3175,5,5,3,0,0.0
155,1,0,31,760,1,4,1,17,27.0
156,1,0,13,853,4,5,4,105,122.0
157,0,0,24,446,5,4,5,0,0.0
158,1,1,60,1071,3,3,1,0,0.0
159,1,0,42,728,3,3,2,0,3.0
160,1,1,57,2585,4,4,4,0,0.0
161,1,1,42,707,3,3,3,27,11.0
162,0,1,20,861,2,5,2,0,0.0
163,1,0,51,719,4,4,3,19,0.0
164,1,1,45,1790,5,5,4,0,0.0
165,1,1,26,680,5,5,5,12,27.0
166,0,0,26,888,5,3,5,51,30.0
167,1,0,24,1660,3,2,3,0,2.0
168,1,1,49,578,1,4,5,162,179.0
169,1,1,17,606,5,2,5,15,15.0
170,1,1,39,1487,4,4,3,7,0.0
171,1,1,49,317,4,4,5,0,0.0
172,1,0,48,844,4,4,3,0,1.0
173,1,1,52,3747,4,4,5,24,20.0
174,1,1,25,2748,3,4,3,0,0.0
175,1,0,16,1503,3,3,3,0,0.0
176,1,1,58,1717,4,4,4,0,0.0
177,0,0,8,1117,3,4,3,0,7.0
178,1,1,42,1372,5,4,4,141,125.0
179,1,0,52,2768,4,4,4,0,0.0
180,1,1,47,370,5,5,4,0,0.0
181,1,0,69,1546,1,1,3,1,26.0
182,1,0,47,1023,4,1,4,0,0.0
183,1,1,41,3636,4,4,2,0,0.0
184,1,0,40,1325,1,4,1,0,9.0
185,1,0,56,2556,5,5,2,0,0.0
186,1,1,41,1052,4,4,4,6,0.0
187,1,0,40,773,3,4,3,15,26.0
188,1,0,12,817,1,5,1,0,0.0
189,1,1,59,516,1,4,1,3,0.0
190,1,0,21,447,2,5,2,34,19.0
191,1,0,12,462,2,2,2,0,0.0
192,1,0,31,361,1,3,1,0,0.0
193,1,0,37,125,2,3,2,6,4.0
194,1,1,38,271,2,4,2,0,0.0
195,1,0,45,173,2,4,2,0,0.0
196,1,1,43,1950,4,4,5,0,0.0
197,1,0,52,719,3,3,3,0,17.0
198,1,0,57,153,2,3,2,0,0.0
199,1,0,13,337,1,2,1,0,18.0
200,1,1,45,3732,5,5,4,17,0.0
201,1,1,43,3854,5,5,3,0,0.0
202,1,0,53,977,2,3,2,20,17.0
203,1,1,23,3073,5,1,5,0,3.0
204,1,0,16,1379,2,4,2,2,0.0
205,1,0,23,631,2,4,2,0,8.0
206,1,0,45,666,4,5,4,0,0.0
207,1,1,46,2820,5,5,3,1,0.0
208,1,0,49,577,1,1,3,23,2.0
209,1,0,40,2808,3,4,3,7,2.0
210,1,1,19,2172,4,4,4,0,0.0
211,1,0,48,1192,1,2,1,0,0.0
212,1,0,64,1773,2,2,4,0,0.0
214,1,0,23,1749,3,4,3,97,89.0
215,1,1,38,3753,4,4,1,0,0.0
216,1,0,41,214,2,5,2,16,34.0
217,1,0,29,1020,1,3,1,0,0.0
218,1,1,47,368,4,2,4,0,0.0
219,1,0,50,1448,4,4,4,20,4.0
220,1,0,18,1127,3,4,3,0,0.0
221,1,0,20,545,5,3,5,4,0.0
222,1,1,41,3238,4,4,4,0,0.0
223,1,0,12,2466,1,5,1,0,0.0
224,1,0,36,2715,4,3,2,0,0.0
225,1,1,49,337,4,4,3,10,0.0
226,1,0,55,1608,5,5,2,0,0.0
227,1,0,43,3004,2,3,2,0,0.0
228,0,0,49,980,3,5,3,11,6.0
229,0,0,35,1462,3,1,3,0,0.0
230,1,1,45,1521,5,5,4,0,0.0
231,1,1,28,862,5,1,5,9,5.0
232,1,1,60,1833,4,4,2,0,0.0
233,1,0,35,2398,2,2,3,0,9.0
234,0,0,38,349,4,4,4,29,28.0
235,1,1,48,1722,4,4,1,0,0.0
236,1,0,65,578,3,3,3,99,101.0
237,1,0,30,163,1,4,1,9,11.0
238,1,0,51,395,3,3,1,0,0.0
239,0,1,23,416,4,5,4,18,4.0
240,1,0,37,977,3,3,3,0,0.0
241,1,1,23,3095,5,4,5,9,0.0
242,1,0,32,738,4,4,4,0,3.0
243,1,0,67,719,1,3,1,24,14.0
244,1,0,65,226,4,4,3,37,20.0
245,1,1,48,1943,5,5,5,0,0.0
246,1,1,60,2371,4,4,3,66,61.0
247,1,0,31,551,3,3,3,53,48.0
248,1,1,22,493,4,2,4,19,6.0
249,0,0,27,925,5,5,5,4,3.0
250,1,0,19,405,1,4,1,0,0.0
251,0,0,26,1055,4,4,4,0,0.0
252,1,0,72,305,4,3,4,0,0.0
253,1,1,34,589,5,5,5,0,11.0
254,1,1,45,1587,4,4,3,0,0.0
255,1,0,51,3090,2,2,1,0,0.0
256,0,0,26,804,4,4,4,7,0.0
257,1,0,12,719,1,4,1,0,0.0
258,1,0,72,67,3,3,3,28,18.0
259,1,1,45,550,4,3,4,0,0.0
260,1,1,22,2809,5,4,5,36,28.0
261,1,0,53,552,5,5,5,0,0.0
262,0,0,33,356,4,5,4,12,0.0
263,1,0,46,119,4,4,3,13,32.0
264,1,1,54,1545,5,5,4,1,0.0
265,1,0,40,819,4,3,4,23,6.0
266,1,0,37,1801,2,2,4,0,0.0
267,1,1,35,1658,5,3,3,6,6.0
268,0,1,26,114,4,5,4,0,13.0
269,1,1,62,128,5,5,1,0,16.0
270,1,1,58,813,3,3,3,0,0.0
271,1,0,55,349,2,2,3,0,0.0
272,1,0,60,1508,3,3,2,15,15.0
273,1,0,15,89,5,4,5,0,0.0
274,1,0,67,157,5,3,5,45,33.0
275,1,1,43,2828,3,3,5,39,41.0
276,1,1,30,3131,5,4,5,7,0.0
277,1,1,42,718,5,5,1,0,0.0
278,1,1,40,1959,4,5,4,209,191.0
279,1,1,47,3496,5,5,4,0,2.0
280,1,0,38,2300,4,4,2,60,37.0
281,1,0,25,2845,1,2,3,0,1.0
282,0,0,26,406,5,1,3,149,138.0
283,1,0,66,580,4,5,4,26,13.0
284,1,0,69,735,1,1,2,12,4.0
285,1,0,22,1722,2,3,2,0,53.0
286,1,0,8,1201,3,1,3,24,14.0
287,0,1,37,372,4,5,4,11,0.0
288,1,0,69,1072,1,1,4,18,7.0
289,1,0,28,733,4,3,4,15,22.0
290,1,0,51,1075,2,4,2,5,0.0
291,1,0,46,2586,2,3,4,59,57.0
292,0,1,39,140,4,4,4,0,7.0
293,0,0,21,903,1,3,1,35,28.0
294,1,1,46,2423,4,4,5,1,0.0
295,1,1,36,3130,5,5,3,62,65.0
296,1,1,60,2198,4,4,3,23,4.0
297,1,0,23,602,2,4,2,21,44.0
298,1,1,52,685,4,5,4,0,0.0
299,1,1,36,1208,4,2,4,3,0.0
300,1,1,41,2789,4,4,5,10,0.0
301,1,1,45,3305,4,4,3,8,0.0
302,1,0,67,2342,5,3,5,0,0.0
303,1,1,45,3712,4,4,5,0,0.0
304,1,0,56,1431,1,1,5,91,76.0
305,0,0,62,255,2,3,2,113,107.0
306,1,0,30,3720,2,3,2,27,12.0
307,1,1,48,1107,4,4,4,0,0.0
308,1,1,32,2999,4,5,4,28,11.0
309,1,1,30,2438,2,5,2,38,28.0
310,0,0,40,156,4,5,4,0,0.0
311,1,1,42,3665,4,4,3,83,92.0
312,1,1,52,2917,3,4,5,15,32.0
313,1,1,50,1235,5,5,3,0,0.0
314,1,0,18,549,2,4,2,0,0.0
315,1,1,30,1500,5,4,5,0,0.0
316,0,0,26,190,1,4,1,0,0.0
317,0,1,37,468,4,4,4,0,0.0
318,1,0,64,261,1,3,1,0,0.0
319,0,1,21,255,2,5,2,0,0.0
320,1,0,52,1609,3,3,3,0,8.0
321,1,1,52,413,5,5,3,4,2.0
322,1,0,29,119,5,3,5,0,0.0
323,1,0,13,387,1,3,1,16,12.0
324,1,1,28,1087,5,4,5,0,0.0
325,1,0,13,323,2,4,2,15,7.0
326,1,0,16,282,5,5,5,8,16.0
327,1,1,58,1721,4,4,5,18,0.0
328,0,0,24,347,5,4,5,0,0.0
329,1,0,25,3465,2,3,2,0,0.0
330,1,0,34,948,4,4,4,0,0.0
331,1,1,44,1707,5,5,3,0,0.0
332,1,0,23,1372,1,3,1,0,0.0
333,0,1,20,369,1,4,1,0,0.0
334,1,0,8,552,3,2,3,0,11.0
335,1,0,26,1188,1,4,1,0,13.0
336,1,0,43,1005,5,4,5,0,1.0
337,1,0,72,1870,2,2,4,0,0.0
338,1,1,48,896,2,2,1,12,8.0
339,1,0,27,429,3,4,3,0,0.0
340,1,0,25,1796,1,3,4,176,164.0
341,0,0,26,842,5,3,5,38,28.0
342,0,0,16,1107,1,3,1,0,0.0
343,0,0,36,327,5,5,5,0,0.0
344,1,0,55,432,3,2,5,0,0.0
345,0,1,23,577,5,4,5,0,0.0
346,1,0,50,1877,2,2,4,0,0.0
347,1,1,45,1123,5,5,3,0,5.0
348,1,1,57,1749,5,5,4,19,5.0
349,1,1,50,2454,3,3,5,46,24.0
350,1,0,42,270,4,4,4,0,0.0
351,1,1,34,1825,5,5,3,13,0.0
352,0,0,17,191,4,4,4,39,34.0
353,1,1,45,679,5,5,4,0,6.0
354,1,1,59,812,2,2,4,0,3.0
355,1,1,39,1056,5,4,5,20,9.0
356,1,0,28,101,2,3,2,0,0.0
357,1,0,44,73,1,1,1,0,32.0
358,1,1,9,936,4,5,4,22,22.0
359,1,0,24,287,5,2,5,0,8.0
360,1,0,37,255,3,4,3,0,0.0
361,0,1,25,317,5,2,5,9,5.0
362,1,1,22,2027,4,4,4,7,2.0
363,1,1,55,936,3,3,5,0,0.0
364,1,1,53,432,4,3,4,0,5.0
365,1,1,46,888,4,4,4,0,0.0
366,1,1,62,1061,5,5,5,0,0.0
367,1,1,53,216,5,5,4,0,0.0
368,1,1,50,1814,5,5,4,0,0.0
369,1,1,57,2993,4,4,3,0,6.0
370,1,1,54,2632,3,3,5,0,0.0
371,1,1,42,199,5,4,5,0,0.0
372,1,0,17,802,4,3,4,0,5.0
373,1,1,53,581,4,4,3,1,0.0
374,1,1,49,1938,4,4,4,22,21.0
375,1,1,37,174,5,5,5,0,0.0
376,1,1,35,326,4,5,4,0,0.0
377,1,0,30,1821,2,2,2,5,7.0
378,1,0,16,1437,5,4,5,0,0.0
379,1,1,46,3995,5,5,4,0,0.0
380,1,0,51,1488,2,2,2,73,62.0
381,1,0,70,1892,1,4,1,0,0.0
382,0,0,26,502,5,4,5,53,52.0
383,1,1,46,2491,4,4,3,0,0.0
384,1,0,12,944,1,4,1,20,15.0
385,1,1,25,496,4,5,4,0,0.0
386,1,1,63,329,4,4,3,0,0.0
387,1,1,48,402,4,4,3,0,4.0
388,1,1,43,3946,4,4,4,0,0.0
389,1,1,35,337,4,4,5,54,40.0
390,1,1,32,2133,4,5,4,0,0.0
391,1,0,44,192,4,4,4,0,0.0
392,1,0,60,491,5,2,5,22,49.0
393,1,0,20,1120,2,4,2,0,3.0
394,1,0,10,1440,4,3,4,0,7.0
395,1,0,51,140,3,2,2,0,0.0
396,1,0,22,451,2,5,2,0,0.0
397,1,0,42,798,3,3,3,1,4.0
398,1,1,32,3607,5,5,5,0,0.0
399,1,0,24,1096,1,4,1,1,0.0
400,1,1,43,373,5,5,3,0,0.0
401,1,0,7,405,4,4,4,3,0.0
402,1,1,29,2542,5,1,5,18,55.0
403,1,1,48,907,4,4,5,0,1.0
404,0,0,25,1258,1,3,2,199,185.0
405,1,0,25,550,1,4,1,56,63.0
406,1,1,35,602,2,2,4,0,0.0
407,1,0,57,1399,2,2,4,3,0.0
408,1,1,52,3245,5,5,3,93,77.0
409,1,1,17,677,4,5,4,0,0.0
410,1,0,30,1616,1,4,1,70,89.0
411,1,1,38,1561,5,5,5,0,23.0
412,1,1,38,285,4,4,5,0,0.0
413,0,0,38,1189,3,5,3,3,0.0
414,0,1,23,1021,3,5,3,0,0.0
415,1,1,39,2442,4,4,4,80,86.0
416,1,0,55,918,1,1,4,12,5.0
417,0,0,25,545,5,5,5,0,2.0
418,1,0,59,459,4,4,3,0,5.0
419,1,0,9,804,1,5,1,0,0.0
420,0,1,26,569,3,4,3,96,91.0
421,1,1,51,3991,4,4,3,0,0.0
422,1,1,40,1620,5,5,5,0,0.0
423,1,0,56,1173,3,3,1,0,0.0
424,1,0,56,236,4,4,5,57,52.0
425,1,0,18,134,3,3,3,0,0.0
426,1,0,8,647,2,3,2,0,0.0
427,1,1,33,654,4,2,4,0,0.0
428,1,1,46,2623,5,5,5,0,0.0
429,1,0,41,209,2,4,2,95,100.0
430,1,1,36,257,4,4,1,0,0.0
431,1,1,26,1629,5,2,5,0,0.0
432,0,0,36,371,5,2,5,11,6.0
433,1,1,31,2201,2,3,2,0,0.0
434,1,0,24,836,1,1,1,27,54.0
435,1,1,39,3081,2,2,4,7,0.0
436,0,0,20,859,4,3,4,3,24.0
437,1,0,69,1055,2,2,3,29,17.0
438,0,0,27,399,5,3,5,0,0.0
439,1,0,10,632,3,4,3,44,40.0
440,1,1,60,3626,5,5,5,35,36.0
441,1,1,44,833,4,4,4,15,1.0
442,1,0,68,1288,4,4,5,6,24.0
443,1,0,41,2163,3,3,4,60,70.0
444,1,0,46,645,2,4,3,141,139.0
445,1,0,54,515,3,3,3,44,33.0
446,1,0,44,3767,2,1,2,44,92.0
447,0,1,43,888,4,4,4,0,0.0
448,0,1,44,288,4,4,4,0,0.0
449,0,0,26,1024,5,4,5,16,14.0
450,1,1,48,3185,5,5,5,0,0.0
451,1,1,30,2974,4,4,4,74,67.0
452,1,1,46,2981,5,5,3,1,0.0
453,0,0,23,1428,2,5,2,0,7.0
454,1,1,39,2454,5,5,3,0,0.0
455,1,1,24,3482,4,5,4,0,0.0
456,1,0,48,296,2,2,3,0,0.0
457,1,0,63,391,5,5,5,0,4.0
458,1,1,37,3744,5,4,5,172,163.0
459,1,0,37,1558,4,4,3,0,8.0
460,1,1,57,1389,5,5,5,0,0.0
461,1,0,21,1947,1,3,1,0,0.0
462,1,0,9,776,2,3,2,16,6.0
463,1,1,24,3536,4,5,4,0,0.0
464,0,0,36,414,3,5,3,0,0.0
465,1,1,44,3165,4,4,3,0,0.0
466,1,0,49,1600,0,2,3,0,0.0
467,1,1,42,3605,4,4,3,0,0.0
468,1,1,52,247,5,5,3,0,0.0
469,1,0,52,550,2,3,2,0,0.0
470,1,0,20,446,1,4,1,0,0.0
471,1,1,47,728,5,5,3,0,0.0
472,1,0,45,3692,2,2,4,63,52.0
473,1,1,44,3979,4,4,3,0,0.0
474,1,0,47,3546,2,2,2,19,21.0
475,1,1,57,177,5,3,5,91,128.0
476,1,1,34,760,3,3,3,6,0.0
477,1,1,26,2378,4,5,4,4,0.0
478,1,1,45,228,3,3,5,0,21.0
479,1,1,33,163,4,3,3,0,3.0
480,0,0,22,251,2,5,2,0,0.0
481,1,1,51,406,4,4,4,9,4.0
482,1,1,60,624,1,2,4,175,180.0
483,1,1,40,3764,4,4,3,16,3.0
484,1,0,62,696,2,2,2,24,1.0
485,1,0,68,746,2,2,3,27,37.0
486,1,0,38,2930,2,2,3,7,23.0
487,1,1,44,192,5,5,3,23,13.0
488,1,0,11,507,1,4,1,11,5.0
489,1,0,33,226,2,4,2,0,0.0
490,1,0,10,338,5,4,5,0,0.0
491,1,1,51,380,2,3,2,16,0.0
492,1,1,34,3144,5,5,1,3,0.0
493,1,0,69,3714,4,4,1,0,0.0
494,1,1,49,90,4,4,3,0,0.0
495,1,0,30,204,2,4,2,105,93.0
496,1,0,40,399,1,2,1,0,0.0
497,1,0,29,802,2,4,2,0,0.0
498,1,0,68,406,3,3,3,0,0.0
499,1,0,53,676,2,2,3,0,0.0
500,1,1,24,1476,5,4,5,0,8.0
501,1,1,43,3677,4,4,5,2,0.0
502,1,0,7,1034,5,3,4,143,121.0
503,1,0,65,1042,4,2,5,48,30.0
504,1,0,8,597,2,5,2,0,6.0
505,1,0,50,1635,4,5,4,0,4.0
506,1,0,26,2556,4,4,4,0,33.0
507,1,0,24,859,2,4,2,37,52.0
508,1,0,55,1236,5,5,5,0,9.0
509,0,0,21,192,1,3,1,0,0.0
510,1,1,57,649,4,4,3,27,17.0
511,1,1,22,936,4,1,4,0,7.0
512,1,0,49,484,4,4,3,0,0.0
513,1,0,31,2279,3,5,3,0,0.0
514,0,1,21,1444,4,4,1,1,2.0
515,0,1,38,1389,2,5,2,3,0.0
516,1,0,42,1846,1,1,4,0,0.0
517,1,1,55,1884,4,5,5,4,2.0
518,0,0,26,285,3,3,3,0,3.0
519,1,0,43,2256,1,1,2,19,6.0
520,1,0,12,2342,4,4,4,31,22.0
521,1,0,32,163,2,4,2,0,0.0
522,1,1,46,2502,4,4,5,5,0.0
523,1,0,19,337,4,3,4,12,17.0
524,1,1,38,261,4,4,3,0,0.0
525,1,1,52,332,4,4,3,1,0.0
526,0,0,47,707,3,3,3,16,9.0
527,1,0,19,888,1,4,1,1,0.0
528,1,0,43,301,4,2,5,0,0.0
529,1,0,23,130,2,3,2,8,26.0
530,1,1,45,3052,3,3,3,0,0.0
531,1,1,58,2405,3,3,2,10,0.0
532,0,0,25,2585,3,4,3,0,0.0
533,1,0,68,666,1,1,5,2,0.0
534,1,1,64,3239,4,4,3,0,0.0
535,1,1,57,2718,5,5,4,2,0.0
536,1,0,43,362,4,4,3,47,45.0
537,1,1,28,3545,5,5,5,45,51.0
538,0,0,30,813,3,4,3,105,105.0
539,1,1,23,1698,5,1,5,101,126.0
540,0,1,37,148,4,5,4,1,0.0
541,1,1,54,544,4,4,5,0,0.0
542,1,1,40,3011,5,5,4,9,56.0
543,1,1,47,783,5,1,5,0,0.0
544,0,1,24,255,3,4,3,0,0.0
545,1,0,25,140,4,3,4,27,31.0
546,1,1,40,809,4,2,4,118,100.0
547,1,1,38,2472,5,5,5,0,0.0
548,1,1,45,175,3,3,1,0,0.0
549,1,0,29,331,3,5,3,0,0.0
550,1,1,42,2243,2,2,5,18,18.0
551,0,0,42,1874,3,3,3,0,5.0
552,0,0,27,326,5,1,5,5,0.0
553,0,0,38,130,1,4,1,15,8.0
554,1,0,64,1158,4,4,3,0,0.0
555,1,0,46,2074,4,4,3,27,45.0
556,1,1,46,1635,2,2,5,26,27.0
557,1,1,53,1744,2,2,4,0,4.0
558,1,0,48,1703,4,1,4,45,40.0
559,1,0,9,883,1,3,1,28,19.0
560,1,1,39,1979,4,4,3,0,0.0
561,1,0,16,306,5,5,5,76,73.0
562,1,0,29,992,5,5,5,0,10.0
563,1,1,41,2077,5,5,3,0,0.0
564,1,1,51,3304,5,5,5,0,0.0
565,1,1,42,2274,5,5,3,0,0.0
566,1,1,51,1084,4,4,4,0,0.0
567,1,1,50,2335,4,4,3,0,0.0
568,1,1,48,1851,4,4,4,0,0.0
569,1,1,50,3960,5,4,5,0,1.0
570,0,0,20,1269,3,3,3,0,0.0
571,0,0,36,965,3,1,3,4,11.0
572,0,0,10,192,2,4,2,3,4.0
573,1,0,64,1728,1,3,1,18,24.0
574,1,0,58,541,1,4,1,4,0.0
575,1,1,55,1440,5,5,3,0,0.0
576,1,0,64,213,5,5,5,0,6.0
577,1,1,52,3496,5,5,3,0,0.0
578,1,0,10,325,1,4,1,13,5.0
579,0,0,7,491,5,3,5,22,11.0
580,1,1,43,253,5,5,5,0,0.0
581,1,1,42,1010,5,5,2,0,0.0
582,1,1,16,2899,3,5,4,220,212.0
583,1,1,51,2093,4,4,3,0,0.0
584,1,0,35,2295,1,1,2,18,14.0
585,1,0,47,1749,5,5,5,0,3.0
586,0,0,35,668,5,5,5,0,0.0
587,1,0,13,1384,3,3,4,141,126.0
588,1,1,24,326,3,3,3,1,0.0
589,1,1,34,2627,5,5,4,0,0.0
590,1,1,51,1644,5,5,5,9,0.0
591,0,0,39,813,2,3,2,0,0.0
592,0,0,35,200,2,5,2,0,8.0
593,1,1,48,304,5,5,3,33,27.0
594,1,1,44,373,5,2,5,0,0.0
595,1,0,66,1097,3,3,2,0,0.0
596,1,0,26,472,3,3,3,18,18.0
597,1,0,65,745,3,1,5,0,0.0
598,0,0,20,1394,3,4,4,0,3.0
599,1,0,30,607,3,4,3,55,88.0
600,1,1,40,67,4,1,4,0,4.0
601,1,0,45,1294,2,4,2,11,4.0
602,1,0,58,1208,2,4,2,0,0.0
603,0,0,37,107,3,4,4,232,241.0
604,0,0,37,235,4,5,4,0,30.0
605,1,1,25,1009,5,5,5,0,0.0
606,0,0,26,1303,3,3,3,0,0.0
607,1,1,27,628,4,4,4,46,51.0
608,1,1,52,1517,3,5,3,0,0.0
609,1,1,26,2836,5,4,5,0,0.0
610,1,1,58,1034,3,5,5,170,172.0
611,1,0,50,2350,3,3,1,0,0.0
612,0,0,11,529,4,4,4,15,15.0
613,0,1,25,483,5,5,5,0,0.0
614,0,0,22,480,3,4,3,17,4.0
615,1,1,43,2588,3,5,5,0,0.0
616,1,1,41,3396,5,5,4,0,0.0
